Resolution,Target Colors,Algorithm,Time Taken (ms),SSIM,Tradeoff Score,Rank,Resolution Normalized,Speed % Behind Best,Accuracy % Behind Best,Tradeoff % Behind Best,Speed Rank,Accuracy Rank,Tradeoff Rank
"(1920, 1080)",16,Octree-Euclidean,14.14078689958842,0.8086589804951722,0.4280282707363742,1,1920x1080,2008.2294785445563,13.606056650620136,0.0,3.0,6.0,1.0
"(1920, 1080)",16,Octree-K-Means,25.911971700770664,0.9126616795111498,0.4496269709724929,2,1920x1080,3763.178405465331,2.494817545271913,5.046091978681826,4.0,5.0,2.0
"(1920, 1080)",16,Octree-Baseline,9.63006409992886,0.7468680399808681,0.4637787820560679,3,1920x1080,1335.732336531752,20.207557583719034,8.352371505318795,2.0,7.0,3.0
"(1920, 1080)",16,Octree-SOM,89.06387270035339,0.9339172230989208,0.6419777761867179,4,1920x1080,13178.404040279393,0.22395891032830512,49.98490054927163,5.0,2.0,4.0
"(1920, 1080)",16,Median-Cut,128.54785609924875,0.9251620235462044,0.7007926207134841,5,1920x1080,19065.014051659866,1.1593299782495796,63.72577902572879,6.0,4.0,5.0
"(1920, 1080)",16,K-Means,504.4652118998784,0.931902383921836,0.9197246139840776,6,1920x1080,75109.98924455221,0.4392163994822428,114.87473535376425,7.0,3.0,6.0
"(1920, 1080)",16,SOM,831.3653232999059,0.9360135087536512,1.0,7,1920x1080,123847.05432351866,0.0,133.62942785989657,8.0,1.0,7.0
"(1920, 1080)",16,Uniform,0.6707423002808355,0.4038549856577901,1.0,7,1920x1080,0.0,56.85372252847684,133.62942785989657,1.0,8.0,7.0
"(1920, 1080)",32,Octree-Baseline,9.68212360007783,0.8001948475025081,0.4048414438094084,1,1920x1080,1368.883282336846,16.799490513726642,0.0,2.0,7.0,1.0
"(1920, 1080)",32,Octree-Euclidean,16.260641400003806,0.8487212500474941,0.4094377014060635,2,1920x1080,2366.9158646506016,11.753942635131772,1.1353228941696336,3.0,6.0,2.0
"(1920, 1080)",32,Octree-K-Means,32.1469459002401,0.9318429288560224,0.4580592491645534,3,1920x1080,4777.040756913092,3.1113400892534098,13.145345213272902,4.0,5.0,3.0
"(1920, 1080)",32,Octree-SOM,43.81070180024835,0.96120254449094,0.5007087437625104,4,1920x1080,6546.559176471603,0.05866487299785049,23.680208985282274,5.0,2.0,4.0
"(1920, 1080)",32,Median-Cut,128.37754349966417,0.946732234483879,0.6623215055452994,5,1920x1080,19376.267321418218,1.563219880780529,63.6002231671488,6.0,4.0,5.0
"(1920, 1080)",32,K-Means,891.6347032001795,0.9608240966344714,0.9551745730891708,6,1920x1080,135170.6661864543,0.09801410721305094,135.9379425439577,7.0,3.0,6.0
"(1920, 1080)",32,SOM,1198.0340746002184,0.9617667637414244,1.0,7,1920x1080,181654.77782952582,0.0,147.01028397447888,8.0,1.0,7.0
"(1920, 1080)",32,Uniform,0.6591486006072955,0.4038549856577901,1.0,7,1920x1080,0.0,58.00905158265913,147.01028397447888,1.0,8.0,7.0
"(1920, 1080)",64,Octree-Baseline,13.839565300077084,0.8976864234339985,0.3655592153295422,1,1920x1080,1748.998762935065,8.22513533357088,0.0,2.0,7.0,1.0
"(1920, 1080)",64,Octree-Euclidean,27.89897279944853,0.9343297510797124,0.4203610121992778,2,1920x1080,3627.3689653425777,4.478909092620864,14.991222918654415,3.0,6.0,2.0
"(1920, 1080)",64,Octree-K-Means,39.18750570010161,0.9604663857744123,0.4567878095731797,3,1920x1080,5135.543746565156,1.8068333551199225,24.955900554003886,4.0,4.0,3.0
"(1920, 1080)",64,Octree-SOM,44.646067199937534,0.9739454530127286,0.4733951327108615,4,1920x1080,5864.820515145841,0.428802520149713,29.498891796260136,5.0,3.0,4.0
"(1920, 1080)",64,Median-Cut,129.87204589953762,0.9567244115124705,0.6282159520487829,5,1920x1080,17251.21349561128,2.1893936484585104,71.85066760865607,6.0,5.0,5.0
"(1920, 1080)",64,SOM,1643.283806799809,0.9781397408721744,0.9932895077482002,6,1920x1080,219446.61581076885,0.0,171.71781372076077,7.0,1.0,6.0
"(1920, 1080)",64,Uniform,0.7484897003450897,0.5619417608839096,1.0,7,1920x1080,0.0,42.549950952524945,173.55349231136898,1.0,8.0,7.0
"(1920, 1080)",64,K-Means,1721.1222318001091,0.977819997512442,1.0000002951026248,8,1920x1080,229846.01408764735,0.032688924329696445,173.55357303772257,8.0,2.0,8.0
"(1920, 1080)",128,Octree-Baseline,11.622280300070996,0.92617505216351,0.3276613550384184,1,1920x1080,1657.4244616076915,6.137815259780147,0.0,2.0,7.0,1.0
"(1920, 1080)",128,Octree-SOM,47.4486021012126,0.9747277066962412,0.4427782342570036,2,1920x1080,7074.782559774587,1.217300267788405,35.13288260835266,4.0,4.0,2.0
"(1920, 1080)",128,Octree-Euclidean,42.82558339982643,0.9505364507697992,0.4431987501998691,3,1920x1080,6375.728162313854,3.668936303072986,35.26122119219823,3.0,6.0,3.0
"(1920, 1080)",128,Octree-K-Means,56.986692299688,0.980767781718774,0.4650216783880213,4,1920x1080,8517.053146874336,0.6051755552025693,41.92142931640422,5.0,3.0,4.0
"(1920, 1080)",128,Median-Cut,132.0607455993013,0.965466689942463,0.5772353244403978,5,1920x1080,19869.12643149251,2.15584775229994,76.16826505912385,6.0,5.0,5.0
"(1920, 1080)",128,SOM,2851.2011882998195,0.9867392866753132,0.9741336000252248,6,1920x1080,431034.905019664,0.0,197.2988987093114,7.0,1.0,6.0
"(1920, 1080)",128,Uniform,0.6613246005144902,0.6719747014739194,1.0,7,1920x1080,0.0,31.89946822346065,205.1931467117169,1.0,8.0,7.0
"(1920, 1080)",128,K-Means,3474.9425697002152,0.9864713507617434,1.0000003622930962,8,1920x1080,525351.8835374969,0.027153668368931242,205.19325728108697,8.0,2.0,8.0
"(1920, 1080)",256,Octree-Baseline,17.4850678999519,0.9652524147413892,0.3076751521777923,1,1920x1080,2602.439588102725,2.604310281161782,0.0,2.0,7.0,1.0
"(1920, 1080)",256,Octree-Euclidean,72.16644630025257,0.976598145210065,0.4572183949176198,2,1920x1080,11053.829229054836,1.4595058471249323,48.60426384169394,3.0,5.0,2.0
"(1920, 1080)",256,Octree-SOM,74.43160699986038,0.9842341912866882,0.457864641077929,3,1920x1080,11403.92566465698,0.6890151827148377,48.814305554758825,4.0,4.0,3.0
"(1920, 1080)",256,Octree-K-Means,102.98818059964104,0.986917256150594,0.495667400591495,4,1920x1080,15817.543926718674,0.4182891539687732,61.10088744022788,5.0,3.0,4.0
"(1920, 1080)",256,Median-Cut,133.15803999976197,0.971427185744086,0.531929363899009,5,1920x1080,20480.50679748935,1.9812648772042443,72.88668263715681,6.0,6.0,5.0
"(1920, 1080)",256,SOM,4508.692993600198,0.9910627642022752,0.9458671924606074,6,1920x1080,696750.0497810524,0.0,207.42397810338326,7.0,1.0,6.0
"(1920, 1080)",256,Uniform,0.6470105003245408,0.7468214634184793,1.0,7,1920x1080,0.0,24.64438273799846,225.01812152258003,1.0,8.0,7.0
"(1920, 1080)",256,K-Means,7092.740304799736,0.990373417086506,1.0000039829683611,8,1920x1080,1096132.6424752017,0.06955635310586591,225.01941605947485,8.0,2.0,8.0
"(2560, 1440)",8,Octree-K-Means,37.7626875997521,0.8751802565581812,0.4600823882376577,1,2560x1440,3211.5119630614613,1.778659614064475,0.0,4.0,4.0,1.0
"(2560, 1440)",8,Octree-Euclidean,16.334979799285065,0.6324570479790719,0.4889698647844466,2,2560x1440,1332.458451978797,29.019446538546728,6.2787616490694615,3.0,6.0,2.0
"(2560, 1440)",8,Octree-Baseline,12.588239600017914,0.5153505055764925,0.5984896460124537,3,2560x1440,1003.8966948320968,42.1622950849468,30.08314626103469,2.0,7.0,3.0
"(2560, 1440)",8,Median-Cut,234.1462355994736,0.8595787741028786,0.7468570763254625,4,2560x1440,20432.91514925316,3.5296114977300577,62.331159683441314,5.0,5.0,4.0
